"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
FALISOLLE;92137;C   
FALLAIS;64015;D   
FALMAGNE;91034;G   
FALMIGNOUL;91034;H   
FAMILLEUREUX*;52063;E   
FARCIENNES;52018;    
FARCIENNES;52018;A   
FAULX-LES-TOMBES;92054;B   
FAUROEULX;56085;E   
FAUVILLERS;82009;    
FAUVILLERS;82009;A   
FAYMONVILLE;63080;C   
FAYS-LES-VENEURS;84050;E   
FAYT-LE-FRANC;53083;H   
FAYT-LEZ-MANAGE;52043;C   
FELENNE;91013;D   
FELUY;52063;B   
FENEUR;62027;B   
FERNELMONT;92138;    
FERRIERES;61019;    
FERRIERES + PARTIE DE HARRE;61019;A   
FESCHAUX;91013;F   
FEXHE-LE-HAUT-CLOCHER;64025;    
FEXHE-LE-HAUT-CLOCHER* + PARTIE DE MOMALLE;64025;A   
FEXHE-SLINS + PARTIE DE LIERS;62060;C   
FILOT;61024;C   
FINNEVAUX;91072;D   
FIZE-FONTAINE;61068;E   
FLAMIERGE*;82005;C   
FLAVION;93022;C   
FLAWINNE;92094;E   
FLEMALLE;62120;    
FLEMALLE-HAUTE & FLEMALLE-GRANDE & PARTIE AWIRS;62120;A   
FLENU;53053;U   
FLERON;62038;    
FLERON*;62038;A   
FLEURUS;52021;    
FLEURUS;52021;A   
FLOBECQ;51019;    
FLOBECQ;51019;A   
FLONE;61003;B   
FLOREE;92006;G   
FLOREFFE;92045;    
FLOREFFE*;92045;A   
FLORENNES;93022;    
FLORENNES;93022;A   
FLORENVILLE;85011;    
FLORENVILLE;85011;A   
FLORIFFOUX;92045;D   
FLOSTOY;91064;J   
FOCANT;91013;K   
FOLX-LES-CAVES;25120;D   
FONTAINE-L'EVEQUE;52022;    
FONTAINE-L'EVEQUE;52022;A   
FONTAINE-VALMONT;56049;D   
FONTENELLE;93088;C   
FONTENOILLE;85011;E   
FONTENOY;57003;B   
FOOZ + PARTIE DE BIERSET;62006;B   
FORCHIES-LA-MARCHE;52022;B   
FOREST;21007;    
FOREST;21007;A   
FOREST;51065;H   
FORET*;62122;A   
FORGE-PHILIPPE;56051;E   
FORGES;56016;J   
FORRIERES;83040;G   
FORVILLE;92138;A   
FOSSES-LA-VILLE;92048;    
FOSSES-LA-VILLE;92048;A   
FOULENG;55039;G   
FOY-NOTRE-DAME;91034;E   
FRAIPONT;62122;B   
FRAIRE;93088;P   
FRAITURE;61081;D   
FRAMERIES;53028;    
FRAMERIES;53028;A   
FRAMONT;84050;C   
FRANCHIMONT;93056;D   
FRANCORCHAMPS;63073;B   
FRANC-WARET;92138;F   
FRANIERE;92045;B   
FRASNES;93014;N   
FRASNES - LEZ - ANVAING;51065;    
FRASNES - LEZ - BUISSENAL;51065;A   
FRASNES-LEZ-GOSSELIES;52075;D   
FREUX;84077;E   
FROIDCHAPELLE;56029;    
FROIDCHAPELLE;56029;A   
FROIDFONTAINE;91013;M   
FRONVILLE;83028;D   
FROYENNES;57081;U   
FUMAL;64015;E   
FURFOOZ;91034;F   
FURNAUX;92087;D   
GAASBEEK;23104;C   
GAGES;51012;B   
GALLAIX;57094;J   
GALMAARDEN;23023;    
GALMAARDEN;23023;A   
GANSHOREN;21008;    
GANSHOREN;21008;    
GANSHOREN;21008;A   
GANSHOREN;21008;A   
GAURAIN-RAMECROIX;57081;J   
GAVERE;44020;    
GAVERE;44020;A   
GEBIETSTEIL  RECHT;63001;D   
GEDINNE;91054;    
GEDINNE;91054;A   
GEEL;13008;    
GEEL + DEEL OEVEL;13008;A   
GEER;64029;    
GEER;64029;A   
GEEST-GEROMPONT-PETIT-ROSIERE;25122;C   
GEETBETS;24028;    
GEETBETS;24028;A   
GELINDEN;71053;M   
GELLIK;73042;E   
GELRODE;24001;D   
GELUVELD;33037;D   
GELUWE;33029;B   
GEMBES;84016;C   
GEMBLOUX;92142;    
GEMBLOUX;92142;A   
GEMMENICH;63088;A   
GENAPPE;25031;    
GENAPPE;25031;A   
GENK;71016;    
GENK;71016;A   
GENLY;53084;H   
GENOELSELDEREN + DEEL VAN 'S HERENELDEREN;73066;J   
GENT;44021;    
GENT CENTRUM;44021;A   
GENT MUIDE-SIFFERDOK;44021;C   
GENT ZUID;44021;B   
GENTBRUGGE;44021;F   
GENTINNES*;25117;D   
GENVAL;25091;B   
GERAARDSBERGEN;41018;    
GERAARDSBERGEN;41018;A   
GERIN;91103;B   
GEROUVILLE;85024;E   
GERPINNES;52025;    
GERPINNES;52025;A   
GESVES;92054;    
GESVES;92054;A   
GHISLENGHIEN;51004;F   
GHLIN (+PART DE BAUDOUR 1971);53053;D   
GHOY;55023;G   
GIBECQ;51004;G   
GIERLE + DEEL VAN VOSSELAAR;13019;C   
GIJVERINKHOVE;38002;E   
GIJZEGEM;41002;C   
GIJZELBRECHTEGEM;34002;B   
GIJZENZELE;44052;F   
GILLY;52011;D   
GIMNEE;93018;G   
GINGELOM;71017;    
GINGELOM;71017;A   
GISTEL;35005;    
GISTEL+DEEL WESTKERKE;35005;A   
GITS;36006;B   
GIVRY;53084;D   
GLABAIS;25031;F   
GLABBEEK;24137;    
GLABBEEK-ZUURBEMDE;24137;A   
GLAIN & PARTIE ANS;62063;K   
GLIMES;25043;B   
GLONS + PARTIE DE SLINS;62011;D   
GOCHENEE;93018;K   
GODARVILLE;52010;B   
GODINNE;91141;B   
GODVEERDEGEM;41081;E   
GOE;63046;C   
GOEFERDINGE;41018;E   
GOEGNIES-CHAUSSEE;53084;E   
GOESNES;92097;D   
GOETSENHOVEN*;24107;J   
GOMZE-ANDOUMONT;62100;E   
GONDREGNIES;55039;H   
GONRIEUX;93014;H   
GONTRODE;44040;B   
GOOIK;23024;    
GOOIK*;23024;A   
GORSEM;71053;E   
GORS-OPLEEUW;73009;D   
GOSSELIES + PARTIE DE WAYAUX;52011;P   
GOTEM;73009;L   
GOTTEM;44011;F   
GOUGNIES;52025;F   
GOURDINNE;93088;J   
GOUTROUX;52011;L   
GOUVY;82037;    
GOUY-LEZ-PIETON;52015;D   
GOZEE;56078;B   
GRACE-BERLEUR*+PART. DE LONCIN;62118;A   
GRACE-HOLLOGNE;62118;    
GRAIDE;91015;B   
GRAMMENE;44011;E   
GRAND-AXHE;64074;F   
GRAND-HALLET;64034;S   
GRAND-HALLEUX;82032;D   
GRANDHAN*;83012;B   
GRAND-LEEZ + PARTIE D'AISCHE-EN-REFAIL;92142;B   
GRANDMENIL;83055;A   
GRANDMETZ;57094;B   
GRAND-RECHAIN;63035;E   
GRAND-RENG;56022;F   
GRANDRIEU;56088;B   
GRAND-ROSIERE-HOTTOMONT;25122;B   
GRANDVOIR;84043;F   
GRAPFONTAINE;84043;D   
GRATY;55039;E   
GRAUX;92087;C   
GRAZEN;24028;C   
GREMBERGEN;42006;D   
GREZ-DOICEAU;25037;    
GREZ-DOICEAU;25037;A   
GRIMBERGEN;23025;    
GRIMBERGEN;23025;A   
GRIMMINGE;41018;L   
GRIVEGNEE;62063;F   
GROBBENDONK;13010;    
GROBBENDONK;13010;A   
GROOT - BIJGAARDEN;23016;C   
GROOT-GELMEN*;71053;K   
GROOT-LOON;73009;G   
GROSAGE;51014;D   
GROTE BROGEL;72030;C   
GROTENBERGE;41081;D   
GROTE-SPOUWEN;73006;L   
GRUITRODE;72040;D   
GRUNE;83040;E   
GRUPONT;84068;D   
GUIGNIES;57093;E   
GUIGOVEN;73040;E   
GUIRSCH;81001;E   
GULLEGEM;34041;B   
GUTSCHOVEN;73022;E   
HAACHT;24033;    
HAACHT;24033;A   
HAALTERT;41024;    
HAALTERT + DEEL EREMBODEGEM;41024;A   
HAASDONK*;46003;H   
HAASRODE*;24086;D   
HABAY;85046;    
HABAY-LA-NEUVE;85046;A   
HABAY-LA-VIEILLE;85046;C   
HABERGY;81015;C   
HACCOURT*;62079;B   
HACHY*;85046;B   
HACQUEGNIES;51065;E   
HAILLOT;92097;B   
HAINE-SAINT-PAUL;55022;C   
HAINE-SAINT-PIERRE;55022;B   
HAININ;53039;D   
HAKENDOVER;24107;H   
HALANZY;81004;C   
HALEN;71020;    
HALEN;71020;A   
HALLAAR;12014;B   
HALLE;11055;B   
HALLE;23027;    
HALLE;23027;A   
HALLE-BOOIENHOVEN;24130;C   
HALLEUX;83031;F   
HALMA;84075;B   
HALMAAL;71053;B   
HALTINNE;92054;D   
HAM;71069;    
HAMIPRE + PARTIE D'ASSENOIS;84043;C   
HAMME;23052;C   
HAMME;42008;    
HAMME;42008;A   
HAMME-MILLE & PARTIE DE BOSSUT GOTTECHAIN;25005;E   
HAMOIR;61024;    
HAMOIR;61024;A   
HAMOIS;91059;    
HAMOIS;91059;A   
HAMONT;72037;A   
HAMONT-ACHEL;72037;    
HAMPTEAU;83028;B   
HAM-SUR-HEURE;56086;A   
HAM-SUR-HEURE - NALINNES;56086;    
HAM-SUR-SAMBRE;92140;H   
HANDZAME;32011;B   
HANEFFE;64023;D   
HANNECHE;61010;B   
HANNUT;64034;    
HANNUT;64034;A   
HANRET;92035;K   
HANSBEKE;44049;C   
HAN-SUR-LESSE;91114;D   
HANTES-WIHERIES;56022;C   
HANZINELLE;93022;K   
HANZINNE;93022;L   
HARELBEKE;34013;    
HARELBEKE*;34013;A   
HARGIMONT;83034;D   
HARMIGNIES;53053;L   
HARNONCOURT;85047;B   
HARRE*;83055;B   
HARSIN;83040;D   
HARVENG;53053;M   
HARZE;62009;C   
HASSELT;71022;    
HASSELT;71022;A   
HASTIERE;91142;    
HASTIERE-LAVAUX;91142;A   
HASTIERE-PAR-DELA;91142;B   
HATRIVAL + PARTIE DE LIBIN ET SMUID;84059;C   
HAULCHIN;56085;H   
HAUSET;63061;C   
HAUT-FAYS;84016;D   
HAUT-ITTRE;25044;B   
HAUTRAGE;53070;E   
HAVAY;53084;C   
HAVELANGE;91064;    
HAVELANGE;91064;A   
HAVINNES;57081;D   
HAVRE+PARIE DE VILLE-SUR-HAINE;53053;H   
HECHTEL + DEEL HELCHTEREN;72038;A   
HECHTEL-EKSEL;72038;    
HEER;91142;E   
HEERS;73022;    
HEERS;73022;A   
HEES;73006;H   
HEESTERT;34042;C   
HEFFEN;12025;D   
HEIKRUIS;23064;F   
HEINDONK;12040;B   
HEINSCH + PARTIE DE HACHY;81001;C   
HEIST;31043;B   
HEIST-OP-DEN-BERG;12014;    
HEIST-OP-DEN-BERG;12014;A   
HEKELGEM;23105;A   
HEKS;73022;H   
HELCHTEREN*;72039;B   
HELDERGEM;41024;D   
HELECINE;25118;    
HELENBOS;24130;B   
HELKIJN;34043;B   
HELLEBECQ;55039;B   
HEMELVEERDEGEM;45063;B   
HEMIKSEM;11018;    
HEMIKSEM;11018;A   
HEMPTINNE;92138;K   
HEMPTINNE;93022;F   
HENDRIEKEN;73009;J   
HENIS;73083;E   
HENNUYERES;55004;B   
HENRI-CHAPELLE+PART. DE BAELEN;63084;B   
HENRIPONT;55004;D   
HENSIES;53039;    
HENSIES;53039;A   
HEPPEN;71034;B   
HEPPENBACH;63001;B   
HEPPIGNIES;52021;E   
HERBEUMONT;84029;    
HERBEUMONT;84029;A   
HERCHIES;53044;E   
HERDEREN;73066;B   
HERDERSEM;41002;D   
HERENT;24038;    
HERENT*;24038;A   
HERENTALS;13011;    
HERENTALS;13011;A   
HERENTHOUT;13012;    
HERENTHOUT;13012;A   
HERFELINGEN;23032;B   
HERGENRATH;63040;C   
HERINNES;57062;C   
HERK-DE-STAD;71024;    
HERK-DE-STAD;71024;A   
HERMALLE-SOUS-ARGENTEAU*;62079;C   
HERMALLE-SOUS-HUY*;61080;D   
HERMEE;62079;E   
HERMETON-SUR-MEUSE;91142;G   
HERNE;23032;    
HERNE;23032;A   
HERON;61028;    
HERON*;61028;A   
HERQUEGIES;51065;F   
HERSEAUX;54007;C   
HERSELT;13013;    
HERSELT;13013;A   
HERSTAL;62051;    
HERSTAL*;62051;A   
HERSTAPPE;73028;    
HERSTAPPE;73028;A   
HERTEN;73098;B   
HERTSBERGE;31022;B   
HERVE;63035;    
HERVE;63035;A   
HERZELE;41027;    
HERZELE;41027;A   
HEULE;34022;B   
HEURE;91120;H   
HEURE-LE-ROMAIN;62079;G   
HEURNE;45035;B   
HEUSDEN;44013;B   
HEUSDEN;71070;A   
HEUSDEN-ZOLDER;71070;    
HEUSY;63079;C   
HEUVELLAND;33039;    
HEVER;24014;B   
HEVERLEE + DEEL VAN BLANDEN;24062;D   
HEVILLERS;25068;C   
HEYD;83012;L   
HILLEGEM;41027;B   
HINGENE;12007;B   
HINGEON;92138;D   
HIVES;83031;D   
HOBOKEN;11002;V   
HODEIGE;64063;D   
HODISTER;83044;D   
HODY;61079;B   
HOEGAARDEN;24041;    
HOEGAARDEN* + DEEL VAN KUMTICH + DEEL VAN TIENEN;24041;A   
HOEILAART;23033;    
HOEILAART;23033;A   
HOELBEEK;73006;E   
HOELEDEN + DEEL BUNSBEEK & SINT-MAGRIETE-HOUTEM;24054;C   
HOEPERTINGEN;73009;M   
HOESELT;73032;    
HOESELT + DEEL VAN TONGEREN;73032;A   
HOEVENEN;11044;B   
HOFSTADE;23096;B   
HOFSTADE;41002;B   
HOGNE;91120;E   
HOGNOUL;62006;C   
HOLLAIN;57093;H   
HOLLANGE;82009;C   
HOLLEBEKE;33011;K   
HOLLOGNE - SUR - GEER;64029;C   
HOLLOGNE-AUX-PIERRES*;62118;B   
HOLSBEEK;24043;    
HOLSBEEK;24043;A   
HOMBEEK;12025;B   
HOMBOURG;63088;D   
HOMPRE;82036;D   
HONDELANGE;81015;E   
HONNAY;91013;L   
HONNELLES;53083;    
HONSEM (DEEL);24011;D   
HONSEM (DEEL);24041;B   
HONSEM*;24016;D   
HOOGLEDE;36006;    
HOOGLEDE;36006;A   
HOOGSTADE;38002;B   
HOOGSTRATEN;13014;    
HOOGSTRATEN;13014;A   
HOREBEKE;45062;    
HORION-HOZEMONT*;62118;D   
HORNU;53014;B   
HORPMAAL;73022;J   
HORRUES;55040;G   
HOTTON;83028;    
HOTTON + PARTIE DE SOY;83028;A   
HOUDEMONT;85046;D   
HOUDENG-AIMERIES;55022;J   
HOUDENG-GOEGNIES;55022;K   
HOUDREMONT;91054;C   
HOUFFALIZE;82014;    
HOUFFALIZE;82014;A   
HOUR;91072;B   
HOUSSE;62119;E   
HOUTAING;51004;S   
HOUTAIN-LE-VAL;25031;D   
HOUTAIN-SAINT-SIMEON;62079;F   
HOUTAVE;31042;C   
HOUTEM;38025;J   
HOUTHALEN*+ DEEL VAN ZONHOVEN EN ZOLDER;72039;A   
HOUTHALEN-HELCHTEREN;72039;    
HOUTHEM;54010;C   
HOUTHULST;32006;    
HOUTHULST;32006;A   
HOUTVENNE;13016;C   
HOUWAART;24135;D   
HOUYET;91072;    
HOUYET;91072;A   
HOVE;11021;    
HOVE;11021;A   
HOVES;55039;D   
HOWARDRIES;57093;D   
HUCCORGNE + PARTIE DE COUTHUIN ET DE LAVOIR;61072;D   
HUISE*;45057;C   
HUISSIGNIES;51014;E   
HUIZINGEN;23003;D   
HULDENBERG;24045;    
HULDENBERG;24045;A   
HULSHOUT;13016;    
HULSHOUT;13016;A   
HULSONNIAUX;91072;F   
HULSTE;34013;C   
HUMAIN*;83034;F   
HUMBEEK;23025;D   
HUNDELGEM;45065;G   
HUPPAYE;25122;G   
HUY;61031;    
HUY;61031;A   
HYON;53053;B   
ICHTEGEM;35006;    
ICHTEGEM*;35006;A   
IDDERGEM + DEEL NINOVE;41011;B   
IDEGEM;41018;K   
IEPER;33011;    
IEPER;33011;A   
IMPE + DEEL VLIERZELE;41034;C   
INCOURT;25043;    
INCOURT;25043;A   
INGELMUNSTER;36007;    
INGELMUNSTER;36007;A   
INGOOIGEM;34002;E   
IRCHONWELZ;51004;K   
ISIERES;51004;D   
ISNES;92142;D   
ITEGEM;12014;C   
ITTERBEEK;23016;D   
ITTRE;25044;    
ITTRE;25044;A   
IVOZ-RAMET;62120;B   
IXELLES;21009;    
IXELLES;21009;A   
IZEGEM;36008;    
IZEGEM;36008;A   
IZEL;85007;D   
IZENBERGE;38002;D   
IZIER;83012;J   
JABBEKE;31012;    
JABBEKE;31012;A   
JALHAY;63038;    
JALHAY;63038;A   
JALLET;92097;E   
JAMAGNE;93056;T   
JAMBES;92094;B   
JAMIOLLE;93056;S   
JAMIOULX;56086;E   
JAMOIGNE;85007;E   
JANDRAIN-JANDRENOUILLE;25120;B   
JAUCHE;25120;C   
JAUCHELETTE;25048;C   
JAVINGUE;91013;B   
JEHAY-BODEGNEE (PARTIE);61063;B   
JEHAY-BODEGNEE*;61003;E   
JEHONVILLE;84009;B   
JEMAPPES;53053;T   
JEMELLE;91114;B   
JEMEPPE;62096;B   
JEMEPPE;92140;A   
JEMEPPE-SUR-SAMBRE;92140;    
JENEFFE;64023;C   
JENEFFE;91064;G   
JESSEREN+ DEEL VAN HAREN;73009;E   
JETTE;21010;    
JETTE;21010;    
JETTE;21010;A   
JETTE;21010;A   
JEUK;71017;H   
JODOIGNE;25048;    
JODOIGNE;25048;A   
JODOIGNE-SOUVERAINE;25048;B   
JOLLAIN-MERLIN;57093;G   
JONCRET;52025;C   
JULEMONT;63035;H   
JUMET;52011;N   
JUPILLE-SUR-MEUSE;62063;D   
JUPRELLE;62060;    
JUPRELLE + PARTIE DE ALLEUR;62060;A   
JURBISE;53044;    
JURBISE;53044;A   
JUSERET;82036;F   
KACHTEM;36008;B   
KAGGEVINNE*;24020;C   
KAIN - MONT-SAINT-AUBERT;57081;V   
KALKEN;42010;B   
KALLO;46003;F   
KALMTHOUT;11022;    
KALMTHOUT* & DEEL WUUSTWEZEL;11022;A   
KAMPENHOUT;23038;    
KAMPENHOUT;23038;A   
KANEGEM;37015;C   
KANNE;73066;E   
KAPELLEN;11023;    
KAPELLEN;11023;A   
KAPELLEN;24137;D   
KAPELLE-OP-DEN-BOS;23039;    
KAPELLE-OP-DEN-BOS EN DEEL VAN ZEMST;23039;A   
KAPRIJKE;43007;    
KAPRIJKE;43007;A   
KASTER;34002;C   
KASTERLEE;13017;    
KASTERLEE;13017;A   
KAULILLE;72003;C   
KEERBERGEN;24048;    
KEERBERGEN;24048;A   
KEIEM;32003;C   
KELMIS;63040;    
KELMIS;63040;A   
KEMMEL;33039;A   
KEMZEKE*;46024;B   
KERKHOVE* + DEEL VAN BERCHEM;34003;C   
KERKOM;24016;B   
KERKOM-BIJ-SINT-TRUIDEN + DEEL VAN BORLO;71053;P   
KERKSKEN;41024;C   
KERMT;71022;F   
KERNIEL;73009;C   
KERSBEEK-MISKOM;24054;D   
KESSEL;12026;C   
KESSEL-LO;24062;C   
KESSENICH;72018;C   
KESTER;23024;D   
KETTENIS*;63023;B   
KEUMIEE*;92137;G   
KIELDRECHT;46003;D   
KINROOI;72018;    
KINROOI;72018;A   
KLEINE BROGEL;72030;B   
KLEINE-SPOUWEN;73006;K   
KLEIN-GELMEN+DEEL VAN GELMEN;73022;G   
KLEMSKERKE;35029;A   
KLERKEN;32006;D   
KLUISBERGEN;45060;    
KNESSELARE;44029;    
KNESSELARE;44029;A   
KNOKKE;31043;A   
KNOKKE-HEIST;31043;    
KOBBEGEM;23002;C   
KOEKELARE;32010;    
KOEKELARE;32010;A   
KOEKELBERG;21011;    
KOEKELBERG;21011;    
KOEKELBERG;21011;A   
KOEKELBERG;21011;A   
KOERSEL;71004;C   
KOKSIJDE;38014;    
KOKSIJDE;38014;A   
KONINGSHOOIKT;12021;B   
KONINKSEM;73083;B   
KONTICH;11024;    
KONTICH;11024;A   
KOOIGEM;34022;H   
KOOLKERKE;31005;D   
KOOLSKAMP;37020;B   
KORBEEK-DIJLE;24009;B   
KORBEEK-LO*;24011;B   
KORTEMARK;32011;    
KORTEMARK;32011;A   
KORTENAKEN;24054;    
KORTENAKEN;24054;A   
KORTENBERG;24055;    
KORTENBERG;24055;A   
KORTESSEM;73040;    
KORTESSEM;73040;A   
KORTIJS;71017;K   
KORTRIJK;34022;    
KORTRIJK + DEEL HARELBEKE EN KUURNE;34022;A   
KORTRIJK-DUTSEL;24043;B   
KOZEN*;71045;D   
KRAAINEM;23099;    
KRAAINEM;23099;A   
KROMBEKE;33021;C   
KRUIBEKE;46013;    
KRUIBEKE;46013;A   
KRUISHOUTEM;45017;    
KRUISHOUTEM;45017;A   
KUMTICH*;24107;D   
KURINGEN;71022;D   
KUTTEKOVEN;73009;B   
KUURNE;34023;    
KUURNE*;34023;A   
KWAADMECHELEN;71069;B   
KWAREMONT;45060;C   
LA BOUVERIE;53028;C   
LA BRUYERE;92141;    
LA GLANERIE;57072;C   
LA GLEIZE;63075;B   
LA HESTRE;52043;D   
LA HULPE;25050;    
LA HULPE;25050;A   
LA LOUVIERE;55022;    
LA LOUVIERE;55022;A   
LA REID;63076;C   
LA ROCHE-EN-ARDENNE;83031;    
LA ROCHE-EN-ARDENNE + PARTIE DE MARCOURT;83031;A   
LAAKDAL;13053;    
LAARNE;42010;    
LAARNE;42010;A   
LABUISSIERE;56049;C   
LACUISINE;85011;D   
LADEUZE;51014;C   
LAHAMAIDE;51017;C   
LAMBERMONT;63079;F   
LAMBUSART;52021;C   
LAMINE;64063;B   
LAMONTZEE;61010;C   
LAMORTEAU;85047;C   
LAMPERNISSE;32003;L   
LANAKEN;73042;    
LANAKEN;73042;A   
LANAYE;62108;F   
LANDEGEM;44049;E   
LANDELIES;52048;B   
LANDEN;24059;    
LANDEN;24059;A   
LANDENNE*+PARTIE DE HERON;92003;J   
LANDEN-RUMSDORP;24059;B   
LANDSKOUTER;44052;E   
LANEFFE;93088;M   
LANGDORP;24001;B   
LANGEMARK - POELKAPELLE;33040;    
LANGEMARK + DEEL ZONNEBEKE;33040;A   
LANKLAAR;72041;E   
LANQUESAINT;51004;B   
LANTIN;62060;F   
LANTREMANGE;64074;C   
LAPLAIGNE;57093;J   
LAPSCHEURE;31006;D   
LASNE;25119;    
LASNE-CHAPELLE-SAINT-LAMBERT;25119;A   
LATHUY;25048;E   
LATINNE;64015;C   
LATOUR;85045;C   
LAUW;73083;M   
LAUWE;34027;B   
LAVACHERIE+PARTIE DE FLAMIERGE;82038;C   
LAVAUX-SAINTE-ANNE;91114;H   
LAVOIR*;61028;B   
LE MESNIL;93090;E   
LE ROEULX;55035;    
LE ROEULX;55035;A   
LE ROUX + PARTIE DE METTET;92048;D   
LEBBEKE;42011;    
LEBBEKE;42011;A   
L'ECLUSE;25005;B   
LEDE;41034;    
LEDE;41034;A   
LEDEBERG;44021;G   
LEDEGEM;36010;    
LEDEGEM;36010;A   
LEEFDAAL;24009;C   
LEERBEEK;23024;B   
LEERNES;52022;C   
LEERS-ET-FOSTEAU;56078;G   
LEERS-NORD;57027;G   
LEEST;12025;C   
LEEUWERGEN;41081;C   
LEFFINGE;35011;C   
LEGLISE;84033;    
LEGLISE + PARTIE D'ANLIER;84033;A   
LEIGNON;91030;D   
LEISELE;38002;C   
LEKE;32003;D   
LEMBEEK;23027;C   
LEMBEKE;43007;B   
LENDELEDE;34025;    
LENDELEDE;34025;A   
LENNIK;23104;    
LENS;53046;    
LENS;53046;A   
LENS-SAINT-REMY;64034;H   
LENS-SAINT-SERVAIS;64029;G   
LEOPOLDSBURG;71034;    
LEOPOLDSBURG;71034;A   
LES AVINS;61012;D   
LES BONS VILLERS;52075;    
LES BULLES;85007;C   
LES HAYONS;84010;L   
LES WALEFFES;64076;C   
L'ESCAILLERE;56016;F   
LESDAIN;57093;C   
LESSINES;55023;    
LESSINES;55023;A   
LESSIVE;91114;F   
LESTERNY;83040;F   
LESVE;92101;E   
LETTERHOUTEM;41063;C   
LEUGNIES;56005;E   
LEUT;73107;E   
LEUVEN;24062;    
LEUVEN;24062;A   
LEUZE;57094;A   
LEUZE;92035;L   
LEUZE-EN-HAINAUT;57094;    
LEVAL-CHAUDEVILLE;56005;F   
LEVAL-TRAHEGNIES;56011;C   
LIBIN;84035;    
LIBIN*;84035;A   
LIBRAMONT;84077;A   
LIBRAMONT-CHEVIGNY;84077;    
LICHTAART;13017;B   
LICHTERVELDE;36011;    
LICHTERVELDE;36011;A   
LIEDEKERKE;23044;    
LIEDEKERKE +DEEL BORCHTLOMBEEK;23044;A   
LIEFERINGE;41048;E   
LIEGE;62063;    
LIEGE(MEUSE NORD) + PARTIE DE HERSTAL;62063;A   
LIEGE(MEUSE SUD);62063;B   
LIER;12021;    
LIER;12021;A   
LIERDE;45063;    
LIERNEUX;63045;    
LIERNEUX*;63045;A   
LIERNU;92035;R   
LIERS*;62051;C   
LIEZELE;12030;D   
LIGNE;51004;R   
LIGNEY;64029;F   
LIGNY;92114;D   
LILLE;13019;    
LILLE;13019;A   
LILLOIS-WITTERZEE;25014;B   
LIMAL*;25112;C   
LIMBOURG;63046;    
LIMBOURG;63046;A   
LIMELETTE;25121;C   
LIMERLE;82037;C   
LIMONT;64023;B   
LINCENT;64047;    
LINCENT;64047;A   
LINDEN;24066;D   
LINKEBEEK;23100;    
LINKEBEEK;23100;A   
LINKEROEVER;11002;B   
LINKHOUT;71037;B   
LINSMEAU;25118;C   
LINT;11025;    
LINT;11025;A   
LINTER;24133;    
LINTER-DRIESLINTER;24133;A   
LINTER-NEERLINTER;24133;B   
LIPPELO;12034;C   
LISOGNE;91034;B   
