"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
SAINT-GERY;25117;C   
SAINT-GHISLAIN;53070;    
SAINT-GHISLAIN;53070;A   
SAINT-GILLES;21013;    
SAINT-GILLES;21013;A   
SAINT-HUBERT;84059;    
SAINT-HUBERT;84059;A   
SAINT-JEAN-GEEST;25048;J   
SAINT-JOSSE-TEN-NODE;21014;    
SAINT-JOSSE-TEN-NODE;21014;A   
SAINT-LEGER;57027;C   
SAINT-LEGER;85034;    
SAINT-LEGER;85034;A   
SAINT-MARC;92094;M   
SAINT-MARTIN;92140;C   
SAINT-MAUR - ERE;57081;L   
SAINT-MEDARD;84029;B   
SAINT-NICOLAS;62093;    
SAINT-NICOLAS*;62093;A   
SAINT-PIERRE;84077;C   
SAINT-REMY;56016;K   
SAINT-REMY;62119;F   
SAINT-REMY-GEEST;25048;G   
SAINT-SERVAIS;92094;J   
SAINT-SEVERIN;61043;D   
SAINT-SYMPHORIEN;53053;J   
SAINT-VAAST;55022;D   
SAINT-VINCENT;85039;C   
SAIVE + PARTIE DE WANDRE;62119;D   
SALLES;56016;M   
SAMART;93056;P   
SAMBREVILLE;92137;    
SAMREE;83031;B   
SANKT-VITH;63067;    
SANKT-VITH;63067;A   
SARS-LA-BRUYERE;53028;E   
SARS-LA-BUISSIERE;56044;B   
SART*;63038;B   
SART-BERNARD;92006;D   
SART-CUSTINNE;91054;K   
SART-DAMES-AVELINES;25107;E   
SART-EN-FAGNE;93056;J   
SART-EUSTACHE;92048;C   
SART-SAINT-LAURENT;92048;F   
SAUTIN + PARTIE SOLRE-ST-GERY;56088;C   
SAUTOUR;93056;N   
SCHAARBEEK;21015;    
SCHAARBEEK;21015;A   
SCHAERBEEK;21015;    
SCHAERBEEK;21015;A   
SCHAFFEN;24020;E   
SCHALKHOVEN;73032;E   
SCHALTIN;91059;G   
SCHELDE;11002;M   
SCHELDERODE*+DEEL VAN DE PINTE;44043;D   
SCHELDEWINDEKE;44052;C   
SCHELLE;11038;    
SCHELLE;11038;A   
SCHELLEBELLE;42026;C   
SCHENDELBEKE;41018;G   
SCHEPDAAL;23016;E   
SCHERPENHEUVEL;24134;A   
SCHERPENHEUVEL-ZICHEM;24134;    
SCHILDE;11039;    
SCHILDE;11039;A   
SCHOENBERG (GEBIETSTEIL);63012;D   
SCHONBERG*;63067;C   
SCHOONAARDE;42006;H   
SCHORE;35011;E   
SCHORISSE;45064;D   
SCHOTEN;11040;    
SCHOTEN;11040;A   
SCHRIEK;12014;F   
SCHUIFERSKAPELLE;37015;B   
SCHULEN;71024;C   
SCLAYN;92003;G   
SCY;91059;D   
SEILLES;92003;K   
SELANGE;81015;B   
SELOIGNES;56051;D   
SEMMERZAKE*+DEEL EKE;44020;B   
SENEFFE;52063;    
SENEFFE;52063;A   
SENSENRUTH;84010;C   
SENY;61081;E   
SENZEILLE;93010;F   
SEPTON;83012;C   
SERAING;62096;    
SERAING*;62096;A   
SERAING-LE-CHATEAU;61063;D   
SERINCHAMPS;91030;C   
SERSKAMP;42026;B   
SERVILLE;91103;D   
SIBRET*;82036;E   
SIJSELE;31006;F   
SILENRIEUX*;93010;C   
SILLY;55039;    
SILLY;55039;A   
SINAAI*;46021;D   
SINSIN;91120;F   
SINT - MARTENS - BODEGEM;23016;F   
SINT ULRIKS - KAPELLE;23016;B   
SINT-AGATHA-BERCHEM;21003;    
SINT-AGATHA-BERCHEM;21003;A   
SINT-AGATHA-RODE;24045;D   
SINT-AMANDS;12034;    
SINT-AMANDS;12034;A   
SINT-AMANDSBERG;44021;E   
SINT-ANDRIES;31005;H   
SINT-ANTELINKS;41027;F   
SINT-BAAFS-VIJVE;37017;C   
SINT-BLASIUS-BOEKEL;45065;K   
SINT-DENIJS;34042;E   
SINT-DENIJS-BOEKEL;45065;L   
SINT-DENIJS-WESTREM - AFSNEE;44021;J   
SINT-ELOOIS-VIJVE;34040;D   
SINT-ELOOIS-WINKEL;36010;C   
SINT-GENESIUS-RODE;23101;    
SINT-GENESIUS-RODE;23101;A   
SINT-GILLIS;21013;    
SINT-GILLIS;21013;A   
SINT-GILLIS-BIJ-DENDERMONDE;42006;C   
SINT-GILLIS-WAAS;46020;    
SINT-GILLIS-WAAS*+DEEL KEMZEKE;46020;A   
SINT-GORIKS-OUDENHOVE;41081;G   
SINT-HUIBRECHTS-HERN + DEEL VAN TONGEREN;73032;D   
SINT-HUIBRECHTS-LILLE;72025;B   
SINT-JACOBS-KAPELLE;32003;J   
SINT-JAN;33011;C   
SINT-JAN-IN-EREMO;43014;C   
SINT-JANS-MOLENBEEK;21012;    
SINT-JANS-MOLENBEEK;21012;A   
SINT-JOB-IN-'T GOOR;11009;C   
SINT-JOOST-TEN-NODE;21014;    
SINT-JOOST-TEN-NODE;21014;A   
SINT-JORIS;31003;C   
SINT-JORIS;38016;B   
SINT-JORIS-WEERT;24086;E   
SINT-JORIS-WINGE;24135;C   
SINT-KATELIJNE-WAVER;12035;    
SINT-KATELIJNE-WAVER*;12035;A   
SINT-KATHERINA-LOMBEEK;23086;C   
SINT-KORNELIS-HOREBEKE;45062;B   
SINT-KRUIS*;31005;E   
SINT-LAMBRECHTS-HERK;71022;C   
SINT-LAMBRECHTS-WOLUWE;21018;    
SINT-LAMBRECHTS-WOLUWE;21018;A   
SINT-LAUREINS;43014;    
SINT-LAUREINS;43014;A   
SINT-LAUREINS-BERCHEM;23077;C   
SINT-LENAARTS;11009;B   
SINT-LIEVENS-ESSE;41027;H   
SINT-LIEVENS-HOUTEM;41063;    
SINT-LIEVENS-HOUTEM + DEEL OOMBERGEN;41063;A   
SINT-MARGRIETE;43014;B   
SINT-MARGRIETE-HOUTEM* + DEEL VAN BUNSBEEK;24107;F   
SINT-MARIA-HOREBEKE;45062;A   
SINT-MARIA-LATEM;45065;C   
SINT-MARIA-LIERDE;45063;A   
SINT-MARIA-OUDENHOVE*;41081;K   
SINT-MARTENS-LATEM;44064;    
SINT-MARTENS-LATEM;44064;A   
SINT-MARTENS-LEERNE;44011;L   
SINT-MARTENS-LENNIK;23104;B   
SINT-MARTENS-LIERDE;45063;D   
SINT-MARTENS-VOEREN;73109;B   
SINT-MICHIELS;31005;G   
SINT-NIKLAAS;46021;    
SINT-NIKLAAS* + DEEL HAASDONK, SINT-PAUWELS EN TEMSE;46021;A   
SINT-PAUWELS*;46020;D   
SINT-PIETERS-KAPELLE;23032;C   
SINT-PIETERS-KAPELLE;35011;D   
SINT-PIETERS-LEEUW;23077;    
SINT-PIETERS-LEEUW;23077;A   
SINT-PIETERS-RODE;24043;D   
SINT-PIETERS-VOEREN;73109;E   
SINT-PIETERS-WOLUWE;21019;    
SINT-PIETERS-WOLUWE;21019;A   
SINT-STEVENS-WOLUWE;23094;D   
SINT-TRUIDEN;71053;    
SINT-TRUIDEN;71053;A   
SIPPENAEKEN;63088;E   
SIRAULT;53070;F   
SIVRY;56088;A   
SIVRY-RANCE;56088;    
SLEIDINGE;44019;B   
SLIJPE;35011;G   
SLINS*;62060;B   
SLUIZEN;73083;H   
SMEEREBBE-VLOERZEGEM;41018;J   
SMETLEDE;41034;D   
SMUID*;84035;C   
SNAASKERKE;35005;D   
SNELLEGEM;31012;E   
SOHEIT-TINLOT;61081;A   
SOHIER;84075;D   
SOIGNIES;55040;    
SOIGNIES;55040;A   
SOIRON;63058;B   
SOLRE-SAINT-GERY*;56005;D   
SOLRE-SUR-SAMBRE;56022;B   
SOMBREFFE;92114;    
SOMBREFFE;92114;A   
SOMME-LEUZE;91120;    
SOMME-LEUZE + PARTIE DE GRANDHAN ET DE MAFFE;91120;A   
SOMMETHONNE;85024;D   
SOMMIERE;91103;F   
SOMZEE;93088;K   
SOREE;92054;E   
SORINNE-LA-LONGUE;92006;F   
SORINNES + PARTIE DE ACHENE;91034;D   
SOSOYE;91005;B   
SOUGNE-REMOUCHAMPS + PARTIE DE LOUVEIGNE;62009;B   
SOULME;93018;J   
SOUMAGNE;62099;    
SOUMAGNE;62099;A   
SOUMOY;93010;B   
SOUVRET;52015;B   
SOVET;91030;H   
SOY*;83013;C   
SOYE;92045;C   
SPA;63072;    
SPA + PARTIE DE SART;63072;A   
SPALBEEK;71022;G   
SPIENNES;53053;P   
SPIERE;34043;A   
SPIERE-HELKIJN;34043;    
SPONTIN;91141;D   
SPRIMONT;62100;    
SPRIMONT + PARTIE DE COMBLAIN-AU-PONT;62100;A   
SPY;92140;E   
STABROEK;11044;    
STABROEK;11044;A   
STADEN;36019;    
STADEN;36019;A   
STALHILLE;31012;C   
STAMBRUGES;51008;B   
STAVE;92087;G   
STAVELE;38002;F   
STAVELOT;63073;    
STAVELOT*;63073;A   
STEENDORP;46025;B   
STEENHUFFEL;23045;C   
STEENHUIZE-WIJNHUIZE;41027;G   
STEENKERKE;38025;F   
STEENKERQUE;55004;F   
STEENOKKERZEEL;23081;    
STEENOKKERZEEL;23081;A   
STEKENE;46024;    
STEKENE;46024;A   
STEMBERT;63079;B   
STERREBEEK;23094;C   
STEVOORT;71022;H   
ST-KWINTENS-LENNIK* + DEEL ROOSDAAL;23104;A   
ST-MARD + PARTIE DE DAMPICOURT;85045;D   
STOKKEM;72041;D   
STOKROOIE;71022;E   
STOUMONT;63075;    
STOUMONT;63075;A   
STRAIMONT;84029;C   
STREE;56005;H   
STREE*;61041;C   
STREPY-BRACQUEGNIES;55022;H   
STRIJPEN;41081;H   
STROMBEEK - BEVER;23025;B   
STUIVEKENSKERKE;32003;N   
SUARLEE + PARTIE DE RHISNES;92094;G   
SUGNY;91143;C   
SURICE;93056;E   
SUXY;85007;B   
TAILLES;82014;E   
TAINTIGNIES;57072;B   
TAMINES;92137;D   
TARCIENNE;93088;L   
TAVIER + PARTIE DE ELLEMELLE;61079;C   
TAVIERS;92035;G   
TAVIGNY;82014;G   
TELLIN;84068;    
TELLIN;84068;A   
TEMPLEUVE;57081;S   
TEMPLOUX;92094;F   
TEMSE;46025;    
TEMSE*;46025;A   
TEN AARD;13008;B   
TENNEVILLE;83049;    
TENNEVILLE+PARTIE DE FLAMIERGE;83049;A   
TERALFENE;23105;C   
TERHAGEN;11037;B   
TERMES;85007;F   
TERNAT;23086;    
TERNAT;23086;A   
TERTRE;53070;C   
TERVUREN;24104;    
TERVUREN;24104;A   
TERWAGNE;61012;F   
TESSENDERLO;71057;    
TESSENDERLO;71057;A   
TESTELT;24134;D   
TEUVEN;73109;C   
THEUX;63076;    
THEUX*;63076;A   
THIAUMONT;81003;C   
THIEU;55035;C   
THIEULAIN;57094;K   
THIEUSIES;55040;C   
THIMEON;52055;E   
THIMISTER;63089;A   
THIMISTER - CLERMONT;63089;    
THINES;25072;C   
THIRIMONT;56005;G   
THISNES;64034;P   
THOMMEN;63087;A   
THON;92003;D   
THOREMBAIS-LES BEGUINES;25084;E   
THOREMBAIS-SAINT-TROND;25084;B   
THORICOURT;55039;F   
THUILLIES;56078;D   
THUIN;56078;    
THUIN;56078;A   
THULIN;53039;C   
THUMAIDE;51008;E   
THY-LE-BAUDUIN;93022;J   
THY-LE-CHATEAU;93088;H   
THYNES;91034;C   
TIEGEM;34002;D   
TIELEN;13017;C   
TIELRODE;46025;C   
TIELT;24135;A   
TIELT;37015;    
TIELT;37015;A   
TIELT-WINGE;24135;    
TIENEN;24107;    
TIENEN*;24107;A   
TIHANGE + PARTIE DE STREE ET DE VIERSET-BARSE;61031;C   
TILDONK + DEEL VAN HERENT + DEEL VAN WERCHTER;24033;B   
TILFF*;62032;B   
TILLET;82038;A   
TILLEUR;62093;B   
TILLIER;92138;H   
TILLY;25107;B   
TINLOT;61081;    
TINTANGE;82009;B   
TINTIGNY;85039;    
TINTIGNY;85039;A   
TISSELT* + DEEL BREENDONK;12040;D   
TOERNICH;81001;F   
TOHOGNE;83012;D   
TOLLEMBEEK;23023;C   
TONGEREN;73083;    
TONGEREN*;73083;A   
TONGERLO;13049;B   
TONGERLO;72004;B   
TONGRE-NOTRE-DAME;51014;F   
TONGRE-SAINT-MARTIN;51014;B   
TONGRINNE;92114;B   
TONTELANGE;81003;B   
TORGNY;85047;D   
TORHOUT;31033;    
TORHOUT;31033;A   
TOURINNE;64015;B   
TOURINNES-LA-GROSSE;25005;C   
TOURINNES-SAINT-LAMBERT;25124;C   
TOURNAI;57081;    
TOURNAI;57081;A   
TOURNAY;84043;E   
TOURPES;57094;F   
TRANSINNE;84035;F   
TRAZEGNIES;52015;C   
TREIGNES;93090;C   
TREMBLEUR;62119;A   
TREMELO;24109;    
TREMELO;24109;A   
TRIVIERES;55022;E   
TROGNEE*;64034;L   
TROIS-PONTS;63086;    
TROIS-PONTS FOSSE;63086;A   
TROIS-PONTS WANNE + PARTIE DE STAVELOT;63086;B   
TROOZ;62122;    
TUBIZE;25105;    
TUBIZE;25105;A   
TURNHOUT;13040;    
TURNHOUT;13040;A   
UCCLE;21016;    
UCCLE;21016;A   
UCIMONT;84010;H   
UIKHOVEN;73107;H   
UITBERGEN;42003;B   
UITKERKE;31004;B   
UKKEL;21016;    
UKKEL;21016;A   
ULBEEK;73098;D   
UPIGNY;92035;C   
URSEL;44029;B   
VAALBEEK;24086;B   
VALMEER;73066;G   
VANCE;85009;B   
VARENDONK;13053;B   
VARSENARE;31012;D   
VAUCELLES;93018;B   
VAULX;56016;C   
VAULX;57081;K   
VAUX-CHAVANNE + PARTIE DE BRA;83055;C   
VAUX-ET-BORSET;61068;D   
VAUX-LEZ-ROSIERES;82036;A   
VAUX-SOUS-CHEVREMONT + PARTIE DE CHENEE;62022;D   
VAUX-SUR-SURE;82036;    
VECHMAAL;73022;K   
VEDRIN - DAUSSOULX;92094;L   
VEERLE;13053;A   
VELAINE*+PARTIE DE BOIGNEE;92137;F   
VELAINES;57018;E   
VELDEGEM;31040;C   
VELDWEZELT;73042;D   
VELLEREILLE-LES-BRAYEUX;56085;C   
VELLEREILLE-LE-SEC;56085;J   
VELM;71053;R   
VELROUX + PARTIE DE FEXHE-LE-HAUT-CLOCHER;62118;E   
VELTEM-BEISEM;24038;C   
VELZEKE-RUDDERSHOVE;41081;J   
VENCIMONT;91054;J   
VERGNIES+PARTIE DE BARBENCON;56029;B   
VERLAINE;61063;    
VERLAINE;61063;A   
VERLEE;91064;B   
VERREBROEK;46003;C   
VERVIERS;63079;    
VERVIERS;63079;A   
VESQUEVILLE;84059;B   
VEULEN;73022;D   
VEURNE;38025;    
VEURNE;38025;A   
VEZIN;92003;H   
VEZON;57081;H   
VIANE;41018;S   
VICHTE;34002;F   
VIELSALM;82032;    
VIELSALM+PART D'ARBREFONTAINE;82032;A   
VIEMME;64076;D   
VIERSEL;11054;D   
VIERSET-BARSE*;61041;B   
VIERVES-SUR-VIROIN;93090;B   
VIESVILLE;52055;F   
VIEUX-GENAPPE;25031;E   
VIEUXVILLE;61019;B   
VIEUX-WALEFFE;61068;C   
VILLANCE;84035;B   
VILLE-EN-HESBAYE;64015;F   
VILLEROT;53070;D   
VILLERS - NOTRE - DAME;51004;N   
VILLERS-AUX-TOURS + PARTIE DE ESNEUX;61079;D   
VILLERS-DEUX-EGLISES;93010;E   
VILLERS-DEVANT-ORVAL;85011;B   
VILLERS-EN-FAGNE;93056;K   
VILLERS-LA-BONNE-EAU;82003;C   
VILLERS-LA-LOUE;85024;C   
VILLERS-LA-TOUR;56016;L   
VILLERS-LA-VILLE;25107;    
VILLERS-LA-VILLE;25107;A   
VILLERS-LE-BOUILLET;61068;    
VILLERS-LE-BOUILLET;61068;A   
VILLERS-LE-GAMBON;93056;C   
VILLERS-LE-PEUPLIER;64034;J   
VILLERS-LE-TEMPLE;61043;B   
VILLERS-L'EVEQUE;62006;D   
VILLERS-LEZ-HEEST;92141;F   
VILLERS-PERWIN;52075;C   
VILLERS-POTERIE;52025;E   
VILLERS-SAINT-AMAND;51004;P   
VILLERS-SAINTE-GERTRUDE;83012;K   
VILLERS-SAINT-GHISLAIN;53053;K   
VILLERS-SAINT-SIMEON;62060;D   
VILLERS-SUR-LESSE;91114;J   
VILLERS-SUR-SEMOIS*;85009;F   
VILLE-SUR-HAINE *;55035;D   
VILVOORDE;23088;    
VILVOORDE;23088;A   
VINALMONT;61072;E   
VINDERHOUTE;44036;B   
VINKT;44011;H   
VIRELLES;56016;B   
VIRGINAL-SAMME*;25044;C   
VIROINVAL;93090;    
VIRTON;85045;    
VIRTON;85045;A   
VISE;62108;    
VISE + PARTIE DE BOMBAYE COURT;62108;A   
VISSENAKEN;24107;E   
VITRIVAL;92048;B   
VIVEGNIS + PARTIE DE HERSTAL,WANDRE ET CHERATTE;62079;D   
VIVY;84010;J   
VLADSLO;32003;E   
VLAMERTINGE;33011;G   
VLEKKEM;41082;G   
VLETEREN;33041;    
VLEZEMBEEK;23077;D   
VLIERMAAL;73040;D   
VLIERMAALROOT;73040;C   
VLIERZELE*;41063;D   
VLIJTINGEN;73066;C   
VLIMMEREN;13004;B   
VLISSEGEM + DEEL NIEUWMUNSTER;35029;B   
VODECEE;93056;B   
VODELEE;93018;H   
VOEREN;73109;    
VOGENEE;93088;S   
VOLLEZELE;23023;B   
VONECHE;91013;N   
VOORDE;41048;J   
VOORMEZELE;33011;J   
VOORT;73009;K   
VOROUX-LEZ-LIERS*;62060;E   
VORSELAAR;13044;    
VORSELAAR;13044;A   
VORSEN;71017;L   
VORST;13053;D   
VORST;21007;    
VORST;21007;A   
VOSSELAAR;13046;    
VOSSELAAR*;13046;A   
VOSSELARE;44049;F   
VOSSEM;24104;B   
VOTTEM*;62051;B   
VRASENE*;46003;B   
VREMDE;11004;B   
VREREN;73083;K   
VRESSE;91143;A   
VRESSE-SUR-SEMOIS;91143;    
VROENHOVEN;73066;D   
VUCHT;73107;C   
VURSTE*;44020;C   
VYLE-ET-THAROUL;61039;B   
WAANRODE;24054;E   
WAARBEKE;41018;P   
WAARDAMME;31022;D   
WAARLOOS;11024;B   
WAARMAARDE*;34003;B   
WAARSCHOOT;44072;    
WAARSCHOOT;44072;A   
WAASMUNSTER;42023;    
WAASMUNSTER;42023;A   
WACHTEBEKE;44073;    
WACHTEBEKE;44073;A   
WADELINCOURT;51008;G   
WAGNELEE;52021;G   
WAHA + PARTIE DE MARENNE;83034;B   
WAILLET;91120;D   
WAIMES;63080;    
WAIMES;63080;A   
WAKKEN;37002;D   
WALCOURT;93088;    
WALCOURT +PARTIE DE SILENRIEUX;93088;A   
WALEM;12025;E   
WALHAIN;25124;    
WALHAIN-SAINT-PAUL;25124;A   
WALHORN*;63048;B   
WALSHOUTEM;24059;C   
WALTWILDER;73006;D   
WAMBEEK;23086;B   
WANCENNES;91013;P   
WANDRE*;62063;C   
WANFERCEE - BAULET;52021;B   
WANGENIES;52021;D   
WANLIN;91072;K   
WANNEGEM-LEDE;45017;C   
WANZE;61072;    
WANZE;61072;A   
WANZELE;41034;B   
WARCHIN;57081;B   
WARCOING;57062;B   
WARDIN;82003;B   
WAREGEM;34040;    
WAREGEM;34040;A   
WAREMME;64074;    
WAREMME;64074;A   
WARET-LA-CHAUSSEE;92035;M   
WARET-L'EVEQUE + PARTIE DE LANDENNE;61028;D   
WARISOULX;92141;G   
WARNANT-DREYE;61068;B   
WARNETON;54010;D   
WARQUIGNIES;53082;C   
WARSAGE;62027;E   
WARZEE;61048;B   
WASMES;53082;A   
WASMES-AUDEMEZ-BRIFFOEIL;57064;E   
WASMUEL;53065;B   
WASSEIGE;64075;    
WASSEIGE;64075;A   
WATERLAND-OUDEMAN;43014;D   
WATERLOO;25110;    
WATERLOO + PARTIE DE BRAINE-L'ALLEUD;25110;A   
WATERMAAL-BOSVOORDE;21017;    
WATERMAAL-BOSVOORDE;21017;A   
WATERMAEL-BOITSFORT;21017;    
WATERMAEL-BOITSFORT;21017;A   
WATERSCHEI - ZWARTBERG;71016;B   
WATERVLIET;43014;E   
WATOU;33021;F   
WATTRIPONT;51065;M   
WAUDREZ;56011;F   
WAULSORT;91142;C   
WAUTHIER-BRAINE;25015;B   
WAVRE;25112;    
WAVRE*;25112;A   
WAVREILLE+PARTIE DE RESTEIGNE;91114;C   
WAYAUX*;52075;B   
WAYS;25031;G   
WEBBEKOM;24020;B   
WECHELDERZANDE;13019;B   
WEELDE;13035;B   
WEERDE;23096;C   
WEERT;12007;D   
WEGNEZ;63058;C   
WEILLEN;91103;G   
WELDEN*;45035;C   
WELKENRAEDT;63084;    
WELKENRAEDT*+ PARTIE DE BAELEN;63084;A   
WELLE;41011;C   
WELLEN;73098;    
WELLEN;73098;A   
WELLIN;84075;    
WELLIN;84075;A   
WEMMEL;23102;    
WEMMEL;23102;A   
WENDUINE;35029;C   
WEPION;92094;C   
WERBOMONT;61019;E   
WERCHTER*;24094;B   
WERIS;83012;M   
WERKEN;32011;C   
WERM;73032;B   
WERVIK;33029;    
WERVIK;33029;A   
WESPELAAR;24033;C   
WESTENDE*;35011;H   
WESTERLO;13049;    
WESTERLO;13049;A   
WESTKAPELLE;31043;D   
WESTKERKE*;35014;D   
WESTMALLE;11057;A   
WESTMEERBEEK;13016;B   
WESTOUTER;33039;G   
WESTREM;42025;C   
WESTROZEBEKE;36019;C   
WESTVLETEREN;33041;B   
WETTEREN;42025;    
WETTEREN;42025;A   
WEVELGEM;34041;    
WEVELGEM;34041;A   
WEZEMAAL;24094;C   
WEZEMBEEK-OPPEM;23103;    
WEZEMBEEK-OPPEM;23103;A   
WEZ-VELVAIN;57093;F   
WIBRIN;82014;D   
WICHELEN;42026;    
WICHELEN;42026;A   
WIDOOIE;73083;N   
WIEKEVORST;12014;D   
WIELSBEKE;37017;    
WIELSBEKE;37017;A   
WIERDE;92094;V   
WIERS;57064;B   
WIESNE;91013;H   
WIEZE;42011;B   
WIHERIES*;53020;C   
WIHOGNE;62060;G   
WIJCHMAAL;72030;D   
WIJER;71045;C   
WIJNEGEM;11050;    
WIJNEGEM;11050;A   
WIJNENDALE - DEEL AARTRIJKE + ICHTEGEM;31033;B   
WIJSHAGEN;72040;B   
WIJTSCHATE;33039;B   
WILDEREN;71053;C   
WILLAUPUIS;57094;G   
WILLEBROEK;12040;    
WILLEBROEK* & DEEL BREENDONK EN RUISBROEK;12040;A   
WILLEMEAU - FROIDMONT;57081;M   
WILLERZIE;91054;F   
WILRIJK;11002;U   
WILSELE;24062;B   
WILSKERKE;35011;B   
WIMMERTINGEN;71022;B   
WINENNE;91013;C   
WINGENE;37018;    
WINGENE;37018;A   
WINKSELE;24038;B   
WINTERSHOVEN;73040;B   
WITRY;84033;C   
WODECQ;51017;B   
WOESTEN;33041;C   
WOLKRANGE*;81015;D   
WOLUWE-SAINT-LAMBERT;21018;    
WOLUWE-SAINT-LAMBERT;21018;A   
WOLUWE-SAINT-PIERRE;21019;    
WOLUWE-SAINT-PIERRE;21019;A   
WOLVERTEM;23050;B   
WOMMELGEM;11052;    
WOMMELGEM;11052;A   
WONCK;62011;E   
WONDELGEM;44021;M   
WONTERGEM;44011;G   
WORTEGEM*;45061;B   
WORTEGEM-PETEGEM;45061;    
WORTEL;13014;E   
WOUBRECHTEGEM;41027;E   
WOUMEN*;32003;F   
WULPEN;38014;C   
WULVERGEM;33039;C   
WUUSTWEZEL;11053;    
WUUSTWEZEL*;11053;A   
XHENDELESSE;63035;F   
XHENDREMAEL + PARTIE DE AWANS;62003;D   
XHORIS;61019;D   
YERNEE-FRAINEUX+PARTIE DE ABEE;61043;C   
YVES-GOMEZEE;93088;R   
YVOIR;91141;    
YVOIR;91141;A   
ZAFFELARE;44034;B   
ZANDBERGEN;41018;M   
ZANDE;32010;C   
ZANDHOVEN;11054;    
ZANDHOVEN;11054;A   
ZANDVOORDE;33037;E   
ZARLARDINGE;41018;F   
ZARREN;32011;D   
ZAVENTEM;23094;    
ZAVENTEM;23094;A   
ZEDELGEM;31040;    
ZEDELGEM;31040;A   
ZEGELSEM;45059;C   
ZELE;42028;    
ZELE*+DEEL LOKEREN;42028;A   
ZELEM;71020;B   
ZELLIK;23002;E   
ZELZATE;43018;    
ZELZATE;43018;A   
ZEMST;23096;    
ZEMST*;23096;A   
ZEPPEREN+ DEEL KOZEN;71053;G   
ZERKEGEM;31012;B   
ZETRUD-LUMAY;25048;H   
ZEVEKOTE;35005;C   
ZEVENEKEN;44034;C   
ZEVEREN;44011;D   
ZEVERGEM*+DEEL MELSEN, SCHELDERODE;44012;B   
ZICHEM;24134;B   
ZICHEN-ZUSSEN-BOLDER;73066;F   
ZILLEBEKE;33011;L   
ZINGEM;45057;    
ZINGEM*+DEEL DIKKELVENNE EN NEDERZWALM-HERMELGEM;45057;A   
ZOERLE-PARWIJS;13049;C   
ZOERSEL;11055;    
ZOERSEL & DEEL BRECHT;11055;A   
ZOLDER*+ DEEL VAN ZONHOVEN + DEEL VAN HOUTHALEN;71070;B   
ZOMERGEM;44080;    
ZOMERGEM;44080;A   
ZONHOVEN;71066;    
ZONHOVEN*+ DEEL VAN HOUTHALEN;71066;A   
ZONNEBEKE;33037;    
ZONNEBEKE*;33037;A   
ZONNEGEM;41063;E   
ZOTTEGEM;41081;    
ZOTTEGEM;41081;A   
ZOUTENAAIE;38025;E   
ZOUTLEEUW;24130;    
ZOUTLEEUW;24130;A   
ZUID - KAPELLEN;11023;B   
ZUIDSCHOTE;33011;E   
ZUIENKERKE;31042;    
ZUIENKERKE;31042;A   
ZULTE;44081;    
ZULTE;44081;A   
ZULZEKE*;45060;D   
ZUTENDAAL;71067;    
ZUTENDAAL;71067;A   
ZWALM;45065;    
ZWEVEGEM;34042;    
ZWEVEGEM;34042;A   
ZWEVEZELE;37018;B   
ZWIJNAARDE*+DEEL VAN MERELBEKE;44021;H   
ZWIJNDRECHT;11056;    
ZWIJNDRECHT;11056;A   
;;
;;
;;