Postcode;Plaatsnaam;Provincie
6820;FLORENVILLE;Luxemburg
5150;Floriffoux;Namen
5370;Flostoy;Namen
5572;Focant;Namen
1212;FOD Mobiliteit;
1350;Folx-Les-Caves;Waals-Brabant
6140;FONTAINE-L'EVÊQUE;Henegouwen
6567;Fontaine-Valmont;Henegouwen
5650;Fontenelle;Namen
6820;Fontenoille;Luxemburg
7643;Fontenoy;Henegouwen
4340;Fooz;Luik
6141;Forchies-La-Marche;Henegouwen
7910;Forest;Henegouwen
4870;Forêt;Luik
6596;Forge-Philippe;Henegouwen
6464;Forges;Henegouwen
6953;Forrières;Luxemburg
5380;Forville;Namen
4980;Fosse;Luik
5070;FOSSES-LA-VILLE;Namen
7830;Fouleng;Henegouwen
6440;Fourbechies;Henegouwen
5504;Foy-Notre-Dame;Namen
4870;Fraipont;Luik
5650;Fraire;Namen
4557;Fraiture;Luik
7080;FRAMERIES;Henegouwen
6853;Framont;Luxemburg
5380;Franc-Waret;Namen
5600;Franchimont;Namen
4970;Francorchamps;Luik
5150;Franière;Namen
5660;Frasnes;Namen
7911;Frasnes-Lez-Buissenal;Henegouwen
6210;Frasnes-Lez-Gosselies;Henegouwen
4347;Freloux;Luik
6800;Freux;Luxemburg
6440;FROIDCHAPELLE;Henegouwen
5576;Froidfontaine;Namen
7504;Froidmont;Henegouwen
6990;Fronville;Luxemburg
7503;Froyennes;Henegouwen
4260;Fumal;Luik
5500;Furfooz;Namen
5641;Furnaux;Namen
1750;Gaasbeek;Vlaams-Brabant
7943;Gages;Henegouwen
7906;Gallaix;Henegouwen
1570;GALMAARDEN;Vlaams-Brabant
1083;GANSHOREN;Brussel (19 gemeenten)
7530;Gaurain-Ramecroix;Henegouwen
9890;GAVERE;Oost-Vlaanderen 
5575;GEDINNE;Namen
2440;GEEL;Antwerpen
4250;GEER;Luik
1367;Geest-Gérompont-Petit-Rosière;Waals-Brabant
3450;GEETBETS;Vlaams-Brabant
5024;Gelbressée;Namen
3800;Gelinden;Limburg
3620;Gellik;Limburg
3200;Gelrode;Vlaams-Brabant
8980;Geluveld;West-Vlaanderen
8940;Geluwe;West-Vlaanderen
6929;Gembes;Luxemburg
5030;GEMBLOUX;Namen
4851;Gemmenich;Luik
1470;GENAPPE;Waals-Brabant
3600;GENK;Limburg
7040;Genly;Henegouwen
3770;Genoelselderen;Limburg
9000;GENT;Oost-Vlaanderen 
9099;Gent X;
9050;Gentbrugge;Oost-Vlaanderen 
1450;Gentinnes;Waals-Brabant
1332;Genval;Waals-Brabant
9500;GERAARDSBERGEN;Oost-Vlaanderen 
3960;Gerdingen;Limburg
5524;Gerin;Namen
1367;Gérompont;Waals-Brabant
6769;Gérouville;Luxemburg
6280;GERPINNES;Henegouwen
2590;Gestel;Antwerpen
5340;GESVES;Namen
7822;Ghislenghien;Henegouwen
7011;Ghlin;Henegouwen
7863;Ghoy;Henegouwen
7823;Gibecq;Henegouwen
2275;Gierle;Antwerpen
8691;Gijverinkhove;West-Vlaanderen
9308;Gijzegem;Oost-Vlaanderen 
8570;Gijzelbrechtegem;West-Vlaanderen
9860;Gijzenzele;Oost-Vlaanderen 
6060;Gilly;Henegouwen
5680;Gimnée;Namen
3890;GINGELOM;Limburg
8470;GISTEL;West-Vlaanderen
8830;Gits;West-Vlaanderen
7041;Givry;Henegouwen
1473;Glabais;Waals-Brabant
3380;GLABBEEK;Vlaams-Brabant
4000;Glain;Luik
4400;Gleixhe;Luik
1315;Glimes;Waals-Brabant
4690;Glons;Luik
5680;Gochenée;Namen
7160;Godarville;Henegouwen
5530;Godinne;Namen
9620;Godveerdegem;Oost-Vlaanderen 
4834;Goé;Luik
9500;Goeferdinge;Oost-Vlaanderen 
7040;Goegnies-Chaussée;Henegouwen
5353;Goesnes;Namen
3300;Goetsenhoven;Vlaams-Brabant
4140;Gomzé-Andoumont;Luik
7830;Gondregnies;Henegouwen
5660;Gonrieux;Namen
9090;Gontrode;Oost-Vlaanderen 
1755;GOOIK;Vlaams-Brabant
3840;Gors-Opleeuw;Limburg
3803;Gorsem;Limburg
6041;Gosselies;Henegouwen
3840;Gotem;Limburg
9800;Gottem;Oost-Vlaanderen 
7070;Gottignies;Henegouwen
6280;Gougnies;Henegouwen
5651;Gourdinne;Namen
6030;Goutroux;Henegouwen
6670;GOUVY;Luxemburg
6181;Gouy-Lez-Piéton;Henegouwen
6534;Gozée;Henegouwen
4460;Grâce-Berleur;Luik
4460;GRÂCE-HOLLOGNE;Luik
5555;Graide;Namen
9800;Grammene;Oost-Vlaanderen 
4300;Grand-Axhe;Luik
4280;Grand-Hallet;Luik
6698;Grand-Halleux;Luxemburg
5031;Grand-Leez;Namen
5030;Grand-Manil;Namen
4650;Grand-Rechain;Luik
6560;Grand-Reng;Henegouwen
1367;Grand-Rosière-Hottomont;Waals-Brabant
7973;Grandglise;Henegouwen
6940;Grandhan;Luxemburg
6960;Grandmenil;Luxemburg
7900;Grandmetz;Henegouwen
6470;Grandrieu;Henegouwen
4360;Grandville;Luik
6840;Grandvoir;Luxemburg
6840;Grapfontaine;Luxemburg
7830;Graty;Henegouwen
5640;Graux;Namen
3450;Grazen;Vlaams-Brabant
9200;Grembergen;Oost-Vlaanderen 
1390;GREZ-DOICEAU;Waals-Brabant
1850;GRIMBERGEN;Vlaams-Brabant
9506;Grimminge;Oost-Vlaanderen 
4030;Grivegnee;Luik
2280;GROBBENDONK;Antwerpen
1702;Groot-Bijgaarden;Vlaams-Brabant
3800;Groot-Gelmen;Limburg
3840;Groot-Loon;Limburg
5555;Gros-Fays;Namen
7950;Grosage;Henegouwen
3990;Grote-Brogel;Limburg
3740;Grote-Spouwen;Limburg
9620;Grotenberge;Oost-Vlaanderen 
3670;Gruitrode;Limburg
6952;Grune;Luxemburg
6927;Grupont;Luxemburg
7620;Guignies;Henegouwen
3723;Guigoven;Limburg
6704;Guirsch;Luxemburg
8560;Gullegem;West-Vlaanderen
3870;Gutshoven;Limburg
3150;HAACHT;Vlaams-Brabant
9450;HAALTERT;Oost-Vlaanderen 
9120;Haasdonk;Oost-Vlaanderen 
3053;Haasrode;Vlaams-Brabant
6720;Habay-La-Neuve;Luxemburg
6723;Habay-La-Vieille;Luxemburg
6782;Habergy;Luxemburg
4684;Haccourt;Luik
6720;Hachy;Luxemburg
7911;Hacquegnies;Henegouwen
5351;Haillot;Namen
7100;Haine-Saint-Paul;Henegouwen
7100;Haine-Saint-Pierre;Henegouwen
7350;Hainin;Henegouwen
3300;Hakendover;Vlaams-Brabant
6792;Halanzy;Luxemburg
3545;HALEN;Limburg
2220;Hallaar;Antwerpen
1500;HALLE;Vlaams-Brabant
2980;Halle;Antwerpen
3440;Halle-Booienhoven;Vlaams-Brabant
6986;Halleux;Luxemburg
6922;Halma;Luxemburg
3800;Halmaal;Limburg
5340;Haltinne;Namen
6120;HAM-SUR-HEURE;Henegouwen
5190;Ham-Sur-Sambre;Namen
6840;Hamipré;Luxemburg
1785;Hamme;Vlaams-Brabant
9220;HAMME;Oost-Vlaanderen 
1320;Hamme-Mille;Waals-Brabant
4180;HAMOIR;Luik
5360;HAMOIS;Namen
3930;Hamont;Limburg
6990;Hampteau;Luxemburg
5580;Han-Sur-Lesse;Namen
8610;Handzame;West-Vlaanderen
4357;Haneffe;Luik
4210;Hannêche;Luik
4280;HANNUT;Luik
5310;Hanret;Namen
9850;Hansbeke;Oost-Vlaanderen 
6560;Hantes-Wihéries;Henegouwen
5621;Hanzinelle;Namen
5621;Hanzinne;Namen
7321;Harchies;Henegouwen
8530;HARELBEKE;West-Vlaanderen
1130;Haren;Brussel (19 gemeenten)
3700;Haren;Limburg
3840;Haren;Limburg
6900;Hargimont;Luxemburg
7022;Harmignies;Henegouwen
6767;Harnoncourt;Luxemburg
6960;Harre;Luxemburg
6950;Harsin;Luxemburg
7022;Harveng;Henegouwen
4920;Harzé;Luik
3500;HASSELT;Limburg
5540;Hastière-Lavaux;Namen
5541;Hastière-Par-Delà;Namen
6870;Hatrival;Luxemburg
7120;Haulchin;Henegouwen
4730;Hauset;Luik
6929;Haut-Fays;Luxemburg
1461;Haut-Ittre;Waals-Brabant
5537;Haut-Le-Wastia;Namen
7334;Hautrage;Henegouwen
7041;Havay;Henegouwen
5370;HAVELANGE;Namen
5590;Haversin;Namen
7531;Havinnes;Henegouwen
7021;Havre;Henegouwen
3940;Hechtel;Limburg
5543;Heer;Namen
3870;HEERS;Limburg
3740;Hees;Limburg
8551;Heestert;West-Vlaanderen
2801;Heffen;Antwerpen
1670;Heikruis;Vlaams-Brabant
2830;Heindonk;Antwerpen
6700;Heinsch;Luxemburg
8301;Heist-Aan-Zee;West-Vlaanderen
2220;HEIST-OP-DEN-BERG;Antwerpen
1790;Hekelgem;Vlaams-Brabant
3870;Heks;Limburg
3530;Helchteren;Limburg
9450;Heldergem;Oost-Vlaanderen 
3440;Helen-Bos;Vlaams-Brabant
8587;Helkijn;West-Vlaanderen
7830;Hellebecq;Henegouwen
9571;Hemelveerdegem;Oost-Vlaanderen 
2620;HEMIKSEM;Antwerpen
5380;Hemptinne;Namen
5620;Hemptinne-Lez-Florennes;Namen
3840;Hendrieken;Limburg
3700;Henis;Limburg
7090;Hennuyères;Henegouwen
4841;Henri-Chapelle;Luik
7090;Henripont;Henegouwen
7350;HENSIES;Henegouwen
3971;Heppen;Limburg
4771;Heppenbach;Luik
6220;Heppignies;Henegouwen
6887;HERBEUMONT;Luxemburg
7050;Herchies;Henegouwen
3770;Herderen;Limburg
9310;Herdersem;Oost-Vlaanderen 
3020;HERENT;Vlaams-Brabant
2200;HERENTALS;Antwerpen
2270;HERENTHOUT;Antwerpen
1540;Herfelingen;Vlaams-Brabant
4728;Hergenrath;Luik
7742;Hérinnes-Lez-Pecq;Henegouwen
3540;HERK-DE-STAD;Limburg
4681;Hermalle-Sous-Argenteau;Luik
4480;Hermalle-Sous-Huy;Luik
4680;Hermée;Luik
5540;Hermeton-Sur-Meuse;Namen
1540;HERNE;Vlaams-Brabant
4217;HÉRON;Luik
7911;Herquegies;Henegouwen
7712;Herseaux;Henegouwen
2230;HERSELT;Antwerpen
4040;HERSTAL;Luik
3717;HERSTAPPE;Limburg
7522;Hertain;Henegouwen
3831;Herten;Limburg
8020;Hertsberge;West-Vlaanderen
4650;HERVE;Luik
9550;HERZELE;Oost-Vlaanderen 
8501;Heule;West-Vlaanderen
5377;Heure;Namen
4682;Heure-Le-Romain;Luik
9700;Heurne;Oost-Vlaanderen 
3550;Heusden;Limburg
9070;Heusden;Oost-Vlaanderen 
3550;HEUSDEN-ZOLDER;Limburg
4802;Heusy;Luik
3191;Hever;Vlaams-Brabant
3001;Heverlee;Vlaams-Brabant
1435;Hévillers;Waals-Brabant
6941;Heyd;Luxemburg
1733;HighCo DATA;
9550;Hillegem;Oost-Vlaanderen 
2880;Hingene;Antwerpen
5380;Hingeon;Namen
6984;Hives;Luxemburg
2660;Hoboken;Antwerpen
4351;Hodeige;Luik
6987;Hodister;Luxemburg
4162;Hody;Luik
3320;HOEGAARDEN;Vlaams-Brabant
1560;HOEILAART;Vlaams-Brabant
8340;Hoeke;West-Vlaanderen
3746;Hoelbeek;Limburg
3471;Hoeleden;Vlaams-Brabant
3840;Hoepertingen;Limburg
3730;HOESELT;Limburg
2940;Hoevenen;Antwerpen
1981;Hofstade;Vlaams-Brabant
9308;Hofstade;Oost-Vlaanderen 
5377;Hogne;Namen
4342;Hognoul;Luik
7620;Hollain;Henegouwen
6637;Hollange;Luxemburg
8902;Hollebeke;West-Vlaanderen
4460;Hollogne-Aux-Pierres;Luik
4250;Hollogne-Sur-Geer;Luik
3220;HOLSBEEK;Vlaams-Brabant
2811;Hombeek;Antwerpen
4852;Hombourg;Luik
6640;Hompré;Luxemburg
6780;Hondelange;Luxemburg
5570;Honnay;Namen
8830;HOOGLEDE;West-Vlaanderen
8690;Hoogstade;West-Vlaanderen
2320;HOOGSTRATEN;Antwerpen
4460;Horion-Hozémont;Luik
7301;Hornu;Henegouwen
3870;Horpmaal;Limburg
7060;Horrues;Henegouwen
6990;HOTTON;Luxemburg
6724;Houdemont;Luxemburg
7110;Houdeng-Aimeries;Henegouwen
7110;Houdeng-Goegnies;Henegouwen
5575;Houdremont;Namen
6660;HOUFFALIZE;Luxemburg
5563;Hour;Namen
4671;Housse;Luik
1476;Houtain-Le-Val;Waals-Brabant
4682;Houtain-Saint-Siméon;Luik
7812;Houtaing;Henegouwen
8377;Houtave;West-Vlaanderen
8630;Houtem;West-Vlaanderen
3530;Houthalen;Limburg
7781;Houthem;Henegouwen
8650;HOUTHULST;West-Vlaanderen
2235;Houtvenne;Antwerpen
3390;Houwaart;Vlaams-Brabant
5530;Houx;Namen
5560;HOUYET;Namen
2540;HOVE;Antwerpen
7830;Hoves;Henegouwen
7624;Howardries;Henegouwen
4520;Huccorgne;Luik
9750;Huise;Oost-Vlaanderen 
7950;Huissignies;Henegouwen
1654;Huizingen;Vlaams-Brabant
3040;HULDENBERG;Vlaams-Brabant
2235;HULSHOUT;Antwerpen
5560;Hulsonniaux;Namen
8531;Hulste;West-Vlaanderen
6900;Humain;Luxemburg
1851;Humbeek;Vlaams-Brabant
9630;Hundelgem;Oost-Vlaanderen 
1367;Huppaye;Waals-Brabant
4500;HUY;Luik
7022;Hyon;Henegouwen
8480;ICHTEGEM;West-Vlaanderen
9472;Iddergem;Oost-Vlaanderen 
9506;Idegem;Oost-Vlaanderen 
8900;IEPER;West-Vlaanderen
9340;Impe;Oost-Vlaanderen 
1315;INCOURT;Waals-Brabant
8770;INGELMUNSTER;West-Vlaanderen
8570;Ingooigem;West-Vlaanderen
1041;International press center;
7801;Irchonwelz;Henegouwen
7822;Isières;Henegouwen
5032;Isnes;Namen
2222;Itegem;Antwerpen
1701;Itterbeek;Vlaams-Brabant
1460;ITTRE;Waals-Brabant
4400;Ivoz-Ramet;Luik
8870;IZEGEM;West-Vlaanderen
6810;Izel;Luxemburg
8691;Izenberge;West-Vlaanderen
6941;Izier;Luxemburg
8490;JABBEKE;West-Vlaanderen
4845;JALHAY;Luik
5354;Jallet;Namen
5600;Jamagne;Namen
5100;Jambes;Namen
5600;Jamiolle;Namen
6120;Jamioulx;Henegouwen
6810;Jamoigne;Luxemburg
1350;Jandrain-Jandrenouille;Waals-Brabant
1350;Jauche;Waals-Brabant
1370;Jauchelette;Waals-Brabant
5570;Javingue;Namen
4540;Jehay;Luik
6880;Jehonville;Luxemburg
7012;Jemappes;Henegouwen
5580;Jemelle;Namen
4101;Jemeppe-Sur-Meuse;Luik
5190;JEMEPPE-SUR-SAMBRE;Namen
4357;Jeneffe;Luik
5370;Jeneffe;Namen
3840;Jesseren;Limburg
1090;JETTE;Brussel (19 gemeenten)
3890;Jeuk;Limburg
1370;JODOIGNE;Waals-Brabant
1370;Jodoigne-Souveraine;Waals-Brabant
7620;Jollain-Merlin;Henegouwen
6280;Joncret;Henegouwen
4650;Julémont;Luik
6040;Jumet;Henegouwen
4020;Jupille-Sur-Meuse;Luik
4450;JUPRELLE;Luik
7050;JURBISE;Henegouwen
6642;Juseret;Luxemburg
8600;Kaaskerke;West-Vlaanderen
8870;Kachtem;West-Vlaanderen
3293;Kaggevinne;Vlaams-Brabant
7540;Kain;Henegouwen
9270;Kalken;Oost-Vlaanderen 
9120;Kallo;Oost-Vlaanderen 
9130;Kallo;Oost-Vlaanderen 
2920;KALMTHOUT;Antwerpen
1008;Kamer van Volksvertegenwoordigers;
1910;KAMPENHOUT;Vlaams-Brabant
8700;Kanegem;West-Vlaanderen
3770;Kanne;Limburg
1880;KAPELLE-OP-DEN-BOS;Vlaams-Brabant
2950;KAPELLEN;Antwerpen
3381;Kapellen;Vlaams-Brabant
9970;KAPRIJKE;Oost-Vlaanderen 
8572;Kaster;West-Vlaanderen
2460;KASTERLEE;Antwerpen
3950;Kaulille;Limburg
3140;KEERBERGEN;Vlaams-Brabant
8600;Keiem;West-Vlaanderen
4367;Kemexhe;Luik
8956;Kemmel;West-Vlaanderen
9190;Kemzeke;Oost-Vlaanderen 
8581;Kerkhove;West-Vlaanderen
3370;Kerkom;Vlaams-Brabant
3800;Kerkom-Bij-Sint-Truiden;Limburg
9451;Kerksken;Oost-Vlaanderen 
3510;Kermt;Limburg
3840;Kerniel;Limburg
3472;Kersbeek-Miskom;Vlaams-Brabant
2560;Kessel;Antwerpen
3010;Kessel Lo;Vlaams-Brabant
3640;Kessenich;Limburg
1755;Kester;Vlaams-Brabant
4701;Kettenis;Luik
5060;Keumiée;Namen
9130;Kieldrecht;Oost-Vlaanderen 
3640;KINROOI;Limburg
3870;Klein-Gelmen;Limburg
3990;Kleine-Brogel;Limburg
3740;Kleine-Spouwen;Limburg
8420;Klemskerke;West-Vlaanderen
8650;Klerken;West-Vlaanderen
9940;Kluizen;Oost-Vlaanderen 
9910;KNESSELARE;Oost-Vlaanderen 
8300;Knokke;West-Vlaanderen
1730;Kobbegem;Vlaams-Brabant
8680;KOEKELARE;West-Vlaanderen
1081;KOEKELBERG;Brussel (19 gemeenten)
3582;Koersel;Limburg
8670;KOKSIJDE;West-Vlaanderen
3700;Kolmont;Limburg
3840;Kolmont;Limburg
7780;Komen;Henegouwen
7780;KOMEN-WAASTEN;Henegouwen
2500;Koningshooikt;Antwerpen
3700;Koninksem;Limburg
2550;KONTICH;Antwerpen
8510;Kooigem;West-Vlaanderen
8000;Koolkerke;West-Vlaanderen
8851;Koolskamp;West-Vlaanderen
3060;Korbeek-Dijle;Vlaams-Brabant
3360;Korbeek-Lo;Vlaams-Brabant
8610;KORTEMARK;West-Vlaanderen
3470;KORTENAKEN;Vlaams-Brabant
3070;KORTENBERG;Vlaams-Brabant
3720;KORTESSEM;Limburg
3890;Kortijs;Limburg
8500;KORTRIJK;West-Vlaanderen
3220;Kortrijk-Dutsel;Vlaams-Brabant
3850;Kozen;Limburg
1950;KRAAINEM;Vlaams-Brabant
8972;Krombeke;West-Vlaanderen
9150;KRUIBEKE;Oost-Vlaanderen 
9770;KRUISHOUTEM;Oost-Vlaanderen 
3300;Kumtich;Vlaams-Brabant
3511;Kuringen;Limburg
3840;Kuttekoven;Limburg
8520;KUURNE;West-Vlaanderen
3945;Kwaadmechelen;Limburg
9690;Kwaremont;Oost-Vlaanderen 
1320;L'Ecluse;Waals-Brabant
6464;L'Escaillère;Henegouwen
7080;La Bouverie;Henegouwen
4720;LA CALAMINE;Luik
7611;La Glanerie;Henegouwen
4987;La Gleize;Luik
7170;La Hestre;Henegouwen
1310;LA HULPE;Waals-Brabant
7100;LA LOUVIÈRE;Henegouwen
4910;La Reid;Luik
6980;LA ROCHE-EN-ARDENNE;Luxemburg
3400;Laar;Vlaams-Brabant
9270;LAARNE;Oost-Vlaanderen 
6567;Labuissière;Henegouwen
6821;Lacuisine;Luxemburg
7950;Ladeuze;Henegouwen
5550;Laforet;Namen
7890;Lahamaide;Henegouwen
1020;Laken;Brussel (19 gemeenten)
7522;Lamain;Henegouwen
4800;Lambermont;Luik
6220;Lambusart;Henegouwen
4350;Lamine;Luik
4210;Lamontzée;Luik
6767;Lamorteau;Luxemburg
8600;Lampernisse;West-Vlaanderen
3620;LANAKEN;Limburg
4600;Lanaye;Luik
9850;Landegem;Oost-Vlaanderen 
6111;Landelies;Henegouwen
3400;LANDEN;Vlaams-Brabant
5300;Landenne;Namen
9860;Landskouter;Oost-Vlaanderen 
5651;Laneffe;Namen
3201;Langdorp;Vlaams-Brabant
8920;Langemark;West-Vlaanderen
3650;Lanklaar;Limburg
7800;Lanquesaint;Henegouwen
4450;Lantin;Luik
4300;Lantremange;Luik
7622;Laplaigne;Henegouwen
8340;Lapscheure;West-Vlaanderen
1380;Lasne-Chapelle-Saint-Lambert;Waals-Brabant
1370;Lathuy;Waals-Brabant
4261;Latinne;Luik
6761;Latour;Luxemburg
3700;Lauw;Limburg
8930;Lauwe;West-Vlaanderen
6681;Lavacherie;Luxemburg
5580;Lavaux-Saint-Anne;Namen
4217;Lavoir;Luik
5670;Le Mesnil;Namen
7070;LE ROEULX;Henegouwen
5070;Le Roux;Namen
9280;LEBBEKE;Oost-Vlaanderen 
9340;LEDE;Oost-Vlaanderen 
9050;Ledeberg;Oost-Vlaanderen 
8880;LEDEGEM;West-Vlaanderen
3061;Leefdaal;Vlaams-Brabant
1755;Leerbeek;Vlaams-Brabant
6142;Leernes;Henegouwen
6530;Leers-Et-Fosteau;Henegouwen
7730;Leers-Nord;Henegouwen
2811;Leest;Antwerpen
9620;Leeuwergem;Oost-Vlaanderen 
8432;Leffinge;West-Vlaanderen
6860;LÉGLISE;Luxemburg
5590;Leignon;Namen
8691;Leisele;West-Vlaanderen
8600;Leke;West-Vlaanderen
1502;Lembeek;Vlaams-Brabant
9971;Lembeke;Oost-Vlaanderen 
9820;Lemberge;Oost-Vlaanderen 
8860;LENDELEDE;West-Vlaanderen
7870;LENS;Henegouwen
4280;Lens-Saint-Remy;Luik
4250;Lens-Saint-Servais;Luik
4360;Lens-Sur-Geer;Luik
3970;LEOPOLDSBURG;Limburg
4560;Les Avins;Luik
6811;Les Bulles;Luxemburg
6830;Les Hayons;Luxemburg
4317;Les Waleffes;Luik
7621;Lesdain;Henegouwen
7860;LESSINES;Henegouwen
5580;Lessive;Namen
6953;Lesterny;Luxemburg
5170;Lesve;Namen
7850;Lettelingen;Henegouwen
9521;Letterhoutem;Oost-Vlaanderen 
6500;Leugnies;Henegouwen
9700;Leupegem;Oost-Vlaanderen 
3630;Leut;Limburg
3000;LEUVEN;Vlaams-Brabant
5310;Leuze;Namen
7900;LEUZE-EN-HAINAUT;Henegouwen
6500;Leval-Chaudeville;Henegouwen
7134;Leval-Trahegnies;Henegouwen
6238;Liberchies;Henegouwen
6890;LIBIN;Luxemburg
6800;LIBRAMONT-CHEVIGNY;Luxemburg
2460;Lichtaart;Antwerpen
8810;LICHTERVELDE;West-Vlaanderen
1770;LIEDEKERKE;Vlaams-Brabant
9400;Lieferinge;Oost-Vlaanderen 
4000;LIÈGE;Luik
4020;LIÈGE;Luik
4099;Liège X;
2500;LIER;Antwerpen
4990;LIERNEUX;Luik
5310;Liernu;Namen
4042;Liers;Luik
2870;Liezele;Antwerpen
7812;Ligne;Henegouwen
4254;Ligney;Luik
5140;Ligny;Namen
2275;LILLE;Antwerpen
2040;Lillo;Antwerpen
1428;Lillois-Witterzée;Waals-Brabant
1300;Limal;Waals-Brabant
4830;LIMBOURG;Luik
1342;Limelette;Waals-Brabant
6670;Limerlé;Luxemburg
4357;Limont;Luik
4287;LINCENT;Luik
3210;Linden;Vlaams-Brabant
1630;LINKEBEEK;Vlaams-Brabant
3560;Linkhout;Limburg
1357;Linsmeau;Waals-Brabant
2547;LINT;Antwerpen
3350;LINTER;Vlaams-Brabant
2890;Lippelo;Antwerpen
5501;Lisogne;Namen
8380;Lissewege;West-Vlaanderen
5101;Lives-Sur-Meuse;Namen
4600;Lixhe;Luik
8647;Lo;West-Vlaanderen
6540;LOBBES;Henegouwen
9080;LOCHRISTI;Oost-Vlaanderen 
6042;Lodelinsart;Henegouwen
2990;Loenhout;Antwerpen
8958;Loker;West-Vlaanderen
9160;LOKEREN;Oost-Vlaanderen 
3545;Loksbergen;Limburg
8434;Lombardsijde;West-Vlaanderen
7870;Lombise;Henegouwen
3920;LOMMEL;Limburg
4783;Lommersweiler;Luik
6463;Lompret;Henegouwen
6924;Lomprez;Luxemburg
4431;Loncin;Luik
1840;LONDERZEEL;Vlaams-Brabant
5310;Longchamps;Namen
6688;Longchamps;Luxemburg
6840;Longlier;Luxemburg
1325;Longueville;Waals-Brabant
6600;Longvilly;Luxemburg
4710;LONTZEN;Luik
5030;Lonzée;Namen
3040;Loonbeek;Vlaams-Brabant
8210;Loppem;West-Vlaanderen
4987;Lorcé;Luik
1651;Lot;Vlaams-Brabant
9880;Lotenhulle;Oost-Vlaanderen 
5575;Louette-Saint-Denis;Namen
5575;Louette-Saint-Pierre;Namen
1471;Loupoigne;Waals-Brabant
1348;Louvain-La-Neuve;Waals-Brabant
4141;Louveigné;Luik
4920;Louveigné;Luik
9920;LOVENDEGEM;Oost-Vlaanderen 
3360;Lovenjoel;Vlaams-Brabant
6280;Loverval;Henegouwen
5101;Loyers;Namen
